,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
79,Mareeba,AU,-17.0,145.4333,69.48,87,0,2.35,clear sky
80,Hithadhoo,MV,-0.6,73.0833,82.04,78,88,17.36,overcast clouds
81,Albany,US,42.6001,-73.9662,39.58,67,30,11.01,scattered clouds
82,Ust-Kuyga,RU,70.0167,135.6,-7.19,100,100,3.4,overcast clouds
83,Puerto Ayora,EC,-0.7393,-90.3518,69.3,79,50,9.4,scattered clouds
84,Banda Aceh,ID,5.5577,95.3222,79.88,78,100,10.22,overcast clouds
85,Kem,RU,64.9555,34.5793,32.25,80,75,15.97,broken clouds
86,New Norfolk,AU,-42.7826,147.0587,53.1,68,100,0.56,overcast clouds
87,Frohnleiten,AT,47.2667,15.3167,55.38,63,81,3.94,broken clouds
88,Longyearbyen,SJ,78.2186,15.6401,12.04,67,20,19.57,few clouds
89,Preobrazheniye,RU,42.9019,133.9064,32.72,62,2,5.73,clear sky
90,Cape Town,ZA,-33.9258,18.4232,73.11,45,0,25.32,clear sky
91,Huarmey,PE,-10.0681,-78.1522,66.88,80,22,7.34,few clouds
92,Valparaiso,CL,-33.0393,-71.6273,60.48,71,51,6.51,broken clouds
93,Saint-Philippe,RE,-21.3585,55.7679,81.99,69,58,11.14,broken clouds
94,Bethel,US,41.3712,-73.414,43.54,64,19,4.0,few clouds
95,Borovoy,RU,55.4333,86.0833,4.28,78,90,20.13,light snow
96,Oussouye,SN,12.485,-16.5469,94.57,32,67,6.98,broken clouds
97,Kodiak,US,57.79,-152.4072,19.53,74,96,8.95,overcast clouds
98,Nome,US,64.5011,-165.4064,0.16,76,2,5.41,clear sky
99,Luganville,VU,-15.5333,167.1667,78.91,82,92,2.55,overcast clouds
100,Dingle,PH,10.9995,122.6711,76.69,90,81,2.24,broken clouds
101,Misratah,LY,32.3754,15.0925,69.98,60,16,12.1,few clouds
102,Ponta Delgada,PT,37.7333,-25.6667,66.92,59,20,9.22,few clouds
103,Herat,AF,34.5,62.0,43.95,57,0,4.7,clear sky
104,Esperance,AU,-33.8667,121.9,57.36,66,100,8.39,overcast clouds
105,Chuy,UY,-33.6971,-53.4616,72.64,43,0,3.09,clear sky
106,Torbay,CA,47.6666,-52.7314,43.29,94,90,32.21,light intensity shower rain
107,Fukue,JP,32.6881,128.8419,63.48,54,0,14.03,clear sky
108,Grindavik,IS,63.8424,-22.4338,41.47,81,40,20.71,scattered clouds
109,Sal Rei,CV,16.1833,-22.9167,77.18,77,100,13.67,overcast clouds
110,Coihaique,CL,-45.5752,-72.0662,57.49,69,100,10.22,overcast clouds
111,Khani,GE,41.9563,42.9566,45.97,78,100,0.76,overcast clouds
112,Karlskoga,SE,59.3267,14.5239,55.31,68,100,14.36,overcast clouds
113,Mola Di Bari,IT,41.0609,17.0873,64.22,70,14,19.86,few clouds
114,Sisimiut,GL,66.9395,-53.6735,13.33,77,14,15.64,few clouds
115,Leningradskiy,RU,69.3833,178.4167,-3.86,79,37,5.17,scattered clouds
116,Caluquembe,AO,-13.7833,14.6833,78.21,46,32,3.53,light rain
117,Hilo,US,19.7297,-155.09,72.25,93,99,3.27,overcast clouds
118,Oktyabrskiy,RU,54.4815,53.471,25.74,80,100,15.55,overcast clouds
119,Saint-Francois,FR,46.4154,3.9054,45.84,81,75,10.36,broken clouds
120,Jumilla,ES,38.4792,-1.325,59.27,66,98,11.14,overcast clouds
121,Cabedelo,BR,-6.9811,-34.8339,84.52,64,99,13.96,overcast clouds
122,Yellowknife,CA,62.456,-114.3525,5.41,94,75,5.01,broken clouds
123,Suffolk,US,40.8668,-72.7996,45.12,65,1,13.0,clear sky
124,Los Algarrobos,PA,8.5,-82.4333,78.08,73,100,1.95,overcast clouds
125,Russell,US,32.3502,-85.1999,46.06,47,19,9.28,few clouds
126,Masvingo,ZW,-20.0637,30.8277,76.89,53,71,9.75,broken clouds
127,Rio Grande,BR,-32.035,-52.0986,72.95,49,0,3.87,clear sky
128,Avarua,CK,-21.2078,-159.775,75.25,83,20,13.8,few clouds
129,Alakurtti,RU,66.9672,30.3491,14.22,98,62,3.36,broken clouds
130,Namatanai,PG,-3.6667,152.4333,78.85,82,96,2.42,overcast clouds
131,Khatanga,RU,71.9667,102.5,-15.18,87,88,7.67,overcast clouds
132,Bengkulu,ID,-3.8004,102.2655,76.39,88,100,3.8,overcast clouds
133,Kargopol,RU,61.5071,38.9456,32.09,95,100,10.2,light snow
134,Tura,IN,25.5198,90.2201,63.05,86,11,3.15,few clouds
135,Sitka,US,57.0531,-135.33,30.09,86,75,3.44,light snow
136,Fallon,US,39.4735,-118.7774,47.28,47,43,6.58,scattered clouds
137,Tiksi,RU,71.6872,128.8694,-5.85,95,100,7.29,overcast clouds
138,Quang Ngai,VN,15.1167,108.8,74.37,92,55,1.63,broken clouds
139,Bobo Dioulasso,BF,11.1771,-4.2979,98.49,12,36,9.57,scattered clouds
140,Mana,GF,5.6592,-53.7767,83.1,75,39,6.53,scattered clouds
141,Luba,GQ,3.4568,8.5547,82.18,78,38,6.02,light rain
142,Hamilton,US,39.1834,-84.5333,33.1,69,2,1.01,clear sky
143,Wahpeton,US,46.2652,-96.6059,30.94,74,1,25.32,clear sky
144,Bredasdorp,ZA,-34.5322,20.0403,68.29,42,1,13.87,clear sky
145,Neiafu,TO,-18.65,-173.9833,78.35,84,100,1.21,light rain
146,Eyrarbakki,IS,63.863,-21.1481,45.64,83,75,11.36,broken clouds
147,Wiang Sa,TH,8.6359,99.3666,76.55,92,81,3.15,broken clouds
148,Kyra,RU,49.5776,111.9753,13.59,95,88,3.56,overcast clouds
149,Dikson,RU,73.5069,80.5464,-19.62,95,48,2.19,scattered clouds
150,Cururupu,BR,-1.8283,-44.8683,90.07,55,79,9.33,broken clouds
151,Kahului,US,20.8947,-156.47,77.85,80,7,10.0,clear sky
152,Rocha,UY,-34.4833,-54.3333,76.69,34,4,2.73,clear sky
153,Imeni Zhelyabova,RU,58.9544,36.5956,34.48,86,93,9.78,overcast clouds
154,Sioux Lookout,CA,50.1001,-91.917,23.38,93,90,5.75,overcast clouds
155,Kautokeino,NO,69.0125,23.0412,2.7,98,76,2.66,broken clouds
156,Saratoga Springs,US,43.0831,-73.7846,41.54,75,39,8.01,scattered clouds
157,Disna,BY,55.568,28.1971,38.41,95,100,7.16,overcast clouds
