,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
593,Bonthe,SL,89.64,clear sky,7.5264,-12.505,Bonthe Holiday Village
594,Kambove,CD,82.69,overcast clouds,-10.8764,26.5969,Couvant des soeurs catholiques
601,Charagua,BO,73.02,overcast clouds,-19.8,-63.2167,Hotel
604,Key West,US,75.0,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
605,Wote,KE,78.85,overcast clouds,-1.7808,37.6288,Midways Hotel
608,Vanimo,PG,78.84,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
609,Tessalit,ML,87.62,broken clouds,20.1986,1.0114,
610,Lorengau,PG,81.82,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
612,Santa Maria,BR,72.45,clear sky,-29.6842,-53.8069,Hotel Morotin
613,Mucurapo,TT,81.01,broken clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
617,Ternate,ID,81.39,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
618,San Vicente,AR,75.83,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
623,Soyo,AO,83.28,scattered clouds,-6.1349,12.3689,Hotel Mpampa
624,Itarare,BR,73.13,overcast clouds,-24.1125,-49.3317,Hospedaria Frei Caneca
626,Colesberg,ZA,72.21,clear sky,-30.72,25.0972,Bhelekazi Guesthouse
627,Tikapur,NP,70.03,broken clouds,28.5,81.1333,BANANA AGRO RESORT
628,Fez,MA,75.45,scattered clouds,34.0372,-4.9998,Hotel Mounia Fès
629,Angoche,MZ,83.62,clear sky,-16.2325,39.9086,Guest House HESADA
630,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
631,Kirakira,SB,78.94,overcast clouds,-10.4544,161.9205,SanBiz Lodge
633,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
638,Heilbron,ZA,83.91,clear sky,-27.2812,27.9709,Guest house
640,Mecca,SA,85.75,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
642,Coahuayana,MX,71.22,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
649,Ambon,ID,82.56,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
651,Senanga,ZM,87.58,light rain,-16.1167,23.2667,Zango lodge
654,Sinnamary,GF,81.52,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
657,Puerto El Triunfo,SV,82.56,overcast clouds,13.2833,-88.55,Hotel Jardin
658,Pitimbu,BR,88.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
660,Gwanda,ZW,82.69,broken clouds,-20.9333,29.0,Mafax Homeways
662,Dong Hoi,VN,74.23,broken clouds,17.4833,106.6,Nam Long Hotel
664,Kasane,BW,80.69,thunderstorm,-17.8167,25.15,The Old House
665,Saint-Pierre,RE,82.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
668,Tres Lagoas,BR,76.51,overcast clouds,-20.7511,-51.6783,Druds Express Hotel
671,Yulara,AU,73.24,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
673,Amuntai,ID,74.97,broken clouds,-2.4177,115.2494,Hotel Balqis
674,Posse,BR,81.88,overcast clouds,-14.0931,-46.3694,Pousada das Palmeiras
681,Kalmunai,LK,80.37,overcast clouds,7.4167,81.8167,VS Villa
683,Awbari,LY,86.14,broken clouds,26.5921,12.7805,فندق أوباري
690,Iquitos,PE,84.24,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
691,Sorong,ID,82.18,broken clouds,-0.8833,131.25,Waigo Splash Hotel
693,Presidencia Roque Saenz Pena,AR,80.22,clear sky,-26.7852,-60.4388,Hotel Aconcagua
694,Umm Lajj,SA,79.03,clear sky,25.0213,37.2685,Moon light Furnished Units
695,Manggar,ID,80.19,overcast clouds,-2.8833,108.2667,Guest Hotel
698,Nieuw Nickerie,SR,82.53,few clouds,5.95,-56.9833,Ishwardat Inn
702,Ikongo,MG,83.95,clear sky,-21.8833,47.4333,
704,Brisbane,AU,73.58,clear sky,-27.4679,153.0281,Royal On The Park Brisbane
